1	2	26284	279
2	113540	38474	645
3	273168	553	282
4	276557	489	242
5	279483	2034	610
6	291169	3195	953
7	309809	2199	496
8	322326	1346	228
9	329794	117	77
10	330623	5194	473
11	356712	727	272
12	361072	1008	387
13	367162	501	113
14	369981	291	163
15	371836	1028	434
16	377936	1146	186
17	384105	2070	207
18	394785	266	173
19	396527	1346	711
20	404145	1646	401
21	413150	46	34
22	413476	1332	85
23	420127	448	129
24	422712	538	263
25	426142	583	181
26	429517	1613	686
27	439141	330	177
28	441235	126	57
29	442057	3039	660
30	458298	246	137
31	459852	2110	470
32	471649	470	273
33	474603	449	174
34	477409	260	174
35	479047	404	76
36	481257	10	7
37	481334	584	250
38	484912	298	153
39	486749	1077	404
40	493101	217	96
41	494452	1515	639
42	503614	321	137
43	505597	184	101
44	506767	66	43
45	507224	133	79
46	508092	117	81
47	508900	453	239
48	511851	5615	223
49	535722	28	25
50	535949	993	429
51	541989	363	147
52	544137	702	341
53	548577	13108	520
54	604326	1681	842
55	614502	1578	457
56	623506	3713	1054
57	643810	200	96
58	645048	400	125
59	647469	1808	409
60	658113	1485	293
61	666125	1029	302
62	671958	587	165
63	675359	2234	593
64	688237	66	45
65	688710	86	46
66	689250	3596	559
67	709394	3080	1194
68	727080	1203	280
69	733262	62	39
70	733670	524	208
71	736763	153	67
72	737711	2353	712
73	751149	505	220
74	754224	5311	1277
75	781902	1030	452
76	788008	682	188
77	791928	287	199
78	793842	89	74
79	794468	18	16
80	794598	1099	373
81	800832	619	333
82	804798	66	16
83	805211	1039	388
84	811665	1409	490
85	819634	58	50
86	820047	2894	1114
87	836635	287	199
88	838499	41	30
89	838799	718	303
90	842972	854	284
91	848166	155	113
92	849215	176	91
93	850340	2625	836
94	865803	2457	514
95	878976	1290	435
96	886627	50	40
97	886997	96	56
98	887626	635	258
99	891448	438	149
100	894055	422	169
101	896633	5278	1389
102	926679	1275	502
103	934299	331	219
104	936417	351	181
105	938663	2440	290
106	949642	9	9
107	949719	1133	400
108	956466	446	211
109	959330	3100	517
110	976330	504	266
111	979582	800	353
112	984494	332	192
113	986673	84	42
114	987235	546	250
115	990581	2164	539
116	1002304	1086	392
117	1008943	1233	174
118	1014922	77	55
119	1015464	171	79
120	1016607	1698	649
121	1026676	466	213
122	1029602	644	192
123	1033221	139	73
124	1034080	400	157
125	1036510	20	15
126	1036667	1444	185
127	1043407	1445	598
128	1051613	603	289
129	1055359	1256	472
130	1062339	1559	1004
